epoch=0, lrate=0.001, error=41460289.187
epoch=1, lrate=0.002, error=13359853.552
epoch=2, lrate=0.003, error=10722320.595
epoch=3, lrate=0.004, error=7918620.537
epoch=4, lrate=0.005, error=5291248.499
epoch=5, lrate=0.006, error=3281907.661
epoch=6, lrate=0.007, error=1986974.890
epoch=7, lrate=0.008, error=1271635.683
epoch=8, lrate=0.009, error=928125.211
epoch=9, lrate=0.010, error=781729.917
epoch=10, lrate=0.011, error=723628.167
epoch=11, lrate=0.012, error=699470.370
epoch=12, lrate=0.013, error=686769.796
epoch=13, lrate=0.014, error=677709.479
epoch=14, lrate=0.015, error=670006.345
epoch=15, lrate=0.016, error=663112.310
epoch=16, lrate=0.017, error=656923.858
epoch=17, lrate=0.018, error=651418.120
epoch=18, lrate=0.019, error=646569.319
epoch=19, lrate=0.020, error=642336.200
epoch=20, lrate=0.021, error=638664.486
epoch=21, lrate=0.022, error=635491.654
epoch=22, lrate=0.023, error=632751.464
epoch=23, lrate=0.024, error=630377.732
epoch=24, lrate=0.025, error=628307.229
epoch=25, lrate=0.026, error=626481.729
epoch=26, lrate=0.027, error=624849.277
epoch=27, lrate=0.028, error=623364.800
epoch=28, lrate=0.029, error=621990.192
epoch=29, lrate=0.030, error=620694.012
epoch=30, lrate=0.031, error=619450.913
epoch=31, lrate=0.032, error=618240.932
epoch=32, lrate=0.033, error=617048.710
epoch=33, lrate=0.034, error=615862.720
epoch=34, lrate=0.035, error=614674.546
epoch=35, lrate=0.036, error=613478.240
epoch=36, lrate=0.037, error=612269.768
epoch=37, lrate=0.038, error=611046.551
epoch=38, lrate=0.039, error=609807.096
epoch=39, lrate=0.040, error=608550.703
epoch=40, lrate=0.041, error=607277.240
epoch=41, lrate=0.042, error=605986.975
epoch=42, lrate=0.043, error=604680.454
epoch=43, lrate=0.044, error=603358.408
epoch=44, lrate=0.045, error=602021.690
epoch=45, lrate=0.046, error=600671.233
epoch=46, lrate=0.047, error=599308.017
epoch=47, lrate=0.048, error=597933.047
epoch=48, lrate=0.049, error=596547.344
epoch=49, lrate=0.050, error=595151.932
