>epoch=0, lrate=0.001, error=23703410.878
>epoch=1, lrate=0.002, error=12696588.499
>epoch=2, lrate=0.003, error=5665439.074
>epoch=3, lrate=0.004, error=2061853.580
>epoch=4, lrate=0.005, error=1126471.181
>epoch=5, lrate=0.006, error=962860.714
>epoch=6, lrate=0.007, error=907589.014
>epoch=7, lrate=0.008, error=861575.985
>epoch=8, lrate=0.009, error=819208.516
>epoch=9, lrate=0.010, error=781499.373
>epoch=10, lrate=0.011, error=748892.372
>epoch=11, lrate=0.012, error=721154.454
>epoch=12, lrate=0.013, error=697616.516
>epoch=13, lrate=0.014, error=677407.795
>epoch=14, lrate=0.015, error=659640.016
>epoch=15, lrate=0.016, error=643526.765
>epoch=16, lrate=0.017, error=628441.712
>epoch=17, lrate=0.018, error=613929.996
>epoch=18, lrate=0.019, error=599690.390
>epoch=19, lrate=0.020, error=585543.995
>epoch=20, lrate=0.021, error=571400.697
>epoch=21, lrate=0.022, error=557229.793
>epoch=22, lrate=0.023, error=543037.303
>epoch=23, lrate=0.024, error=528850.015
>epoch=24, lrate=0.025, error=514705.080
>epoch=25, lrate=0.026, error=500643.641
>epoch=26, lrate=0.027, error=486707.165
>epoch=27, lrate=0.028, error=472935.423
>epoch=28, lrate=0.029, error=459365.428
>epoch=29, lrate=0.030, error=446030.922
>epoch=30, lrate=0.031, error=432962.143
>epoch=31, lrate=0.032, error=420185.751
>epoch=32, lrate=0.033, error=407724.848
>epoch=33, lrate=0.034, error=395599.057
>epoch=34, lrate=0.035, error=383824.635
>epoch=35, lrate=0.036, error=372414.617
>epoch=36, lrate=0.037, error=361378.988
>epoch=37, lrate=0.038, error=350724.869
>epoch=38, lrate=0.039, error=340456.716
>epoch=39, lrate=0.040, error=330576.537
>epoch=40, lrate=0.041, error=321084.103
>epoch=41, lrate=0.042, error=311977.171
>epoch=42, lrate=0.043, error=303251.703
>epoch=43, lrate=0.044, error=294902.082
>epoch=44, lrate=0.045, error=286921.321
>epoch=45, lrate=0.046, error=279301.266
>epoch=46, lrate=0.047, error=272032.784
>epoch=47, lrate=0.048, error=265105.947
>epoch=48, lrate=0.049, error=258510.197
>epoch=49, lrate=0.050, error=252234.498
